rank,code_point_hex,char,char_count
0,0,all,1118171
1,65e5,日,41749
2,5e74,年,24412
3,6708,月,22290
4,65b0,新,15957
5,805e,聞,12819
6,672c,本,9996
7,4eba,人,9804
8,5927,大,9561
9,4f1a,会,8413
10,4e8b,事,8176
11,6642,時,7863
12,51fa,出,7836
13,56fd,国,7531
14,884c,行,7273
15,767a,発,6974
16,4e2d,中,6784
17,5831,報,6603
18,540c,同,6441
19,793e,社,6432
20,8005,者,5929
21,4e0a,上,5647
22,9078,選,5571
23,5f8c,後,5324
24,5730,地,5313
25,6771,東,5112
26,5e02,市,4982
27,624b,手,4909
28,901a,通,4742
29,58f2,売,4523
30,5408,合,4502
31,751f,生,4453
32,7d4c,経,4381
33,9577,長,4377
34,5206,分,4351
35,671d,朝,4241
36,9593,間,4231
37,90e8,部,4168
38,5b9a,定,4050
39,958b,開,4043
40,770c,県,4017
41,4e00,一,3979
42,5834,場,3960
43,8868,表,3949
44,95a2,関,3910
45,56de,回,3883
46,9023,連,3705
47,898b,見,3626
48,524d,前,3606
49,4eac,京,3604
50,5bfe,対,3532
51,9ad8,高,3451
52,6c0f,氏,3370
53,5185,内,3356
54,660e,明,3301
55,6b7b,死,3278
56,54e1,員,3267
57,8aad,読,3224
58,6c7a,決,3205
59,9053,道,3185
60,7530,田,3152
61,4fe1,信,3126
62,52dd,勝,3006
63,65b9,方,2995
64,4eca,今,2984
65,53f0,台,2964
66,60c5,情,2942
67,5317,北,2918
68,696d,業,2889
69,5b66,学,2862
70,5cf6,島,2850
71,5165,入,2849
72,5b50,子,2825
73,8b70,議,2810
74,7523,産,2800
75,6700,最,2781
76,6027,性,2779
77,6bce,毎,2736
78,5168,全,2730
79,81ea,自,2703
80,5178,典,2702
81,5c71,山,2693
82,8a18,記,2623
83,6c11,民,2617
83,98a8,風,2617
84,91ce,野,2616
85,73fe,現,2607
86,5f53,当,2605
87,4ee5,以,2577
88,76ee,目,2554
89,6240,所,2524
90,4e0b,下,2503
91,5ea6,度,2488
92,7591,疑,2479
93,8b66,警,2448
94,6c17,気,2407
95,6226,戦,2403
96,7acb,立,2399
97,6d77,海,2361
98,99ac,馬,2342
99,53d6,取,2327
100,540d,名,2316
100,5bb9,容,2316
101,5348,午,2307
102,7528,用,2296
103,76f8,相,2275
104,91d1,金,2237
105,9001,送,2217
106,6b73,歳,2216
107,6cd5,法,2179
108,653e,放,2160
108,6210,成,2160
109,4ee3,代,2149
110,521d,初,2114
111,7b2c,第,2111
112,90fd,都,2102
113,7406,理,2090
113,53f7,号,2090
114,7403,球,2077
115,4f53,体,2030
116,4e0d,不,2027
117,7dda,線,2020
118,516c,公,2019
119,52d9,務,2011
120,7d04,約,2008
121,7537,男,2004
122,515a,党,2001
123,53d7,受,1996
124,4e07,万,1983
125,6a5f,機,1975
126,8eca,車,1973
127,8a8d,認,1962
128,653f,政,1952
129,52d5,動,1934
130,5ddd,川,1926
131,5b9f,実,1922
132,4e88,予,1913
133,6b62,止,1904
134,897f,西,1893
135,962a,阪,1891
136,8abf,調,1853
137,5224,判,1842
138,5973,女,1839
139,5171,共,1822
140,67fb,査,1814
141,4e3b,主,1797
142,6295,投,1778
143,7af6,競,1766
144,904b,運,1765
145,5c0f,小,1762
146,4ef6,件,1758
147,6570,数,1754
148,77e5,知,1746
149,5916,外,1741
150,8a66,試,1737
151,6e90,源,1731
152,9662,院,1729
153,7684,的,1718
154,533a,区,1702
155,7d9a,続,1692
156,6821,校,1680
157,8fd1,近,1678
158,6319,挙,1658
159,5e81,庁,1652
160,5bb3,害,1639
160,5143,元,1639
161,4f4d,位,1635
161,5357,南,1635
162,5186,円,1630
163,671f,期,1607
164,539f,原,1599
165,8c61,象,1588
166,4f5c,作,1571
167,7968,票,1565
168,7d50,結,1552
168,5728,在,1552
169,5e9c,府,1541
170,512a,優,1537
171,5f0f,式,1535
172,5dde,州,1529
173,70b9,点,1527
174,4ed8,付,1520
175,6b63,正,1517
176,529b,力,1515
177,52a0,加,1511
178,96fb,電,1500
179,6a29,権,1495
179,6e08,済,1495
180,7d71,統,1482
181,7dcf,総,1465
182,5e73,平,1453
183,9707,震,1449
184,6765,来,1444
185,544a,告,1441
186,6307,指,1438
187,4ea1,亡,1433
188,969b,際,1419
188,6355,捕,1419
189,691c,検,1418
190,8a2d,設,1416
191,610f,意,1412
192,706b,火,1410
193,56e3,団,1408
194,9996,首,1399
195,4e16,世,1382
196,7d44,組,1379
197,5bb6,家,1377
198,795e,神,1372
199,4efb,任,1368
200,78ba,確,1366
201,8a71,話,1360
202,902e,逮,1358
203,5316,化,1353
204,5354,協,1339
205,5b89,安,1328
205,518d,再,1328
206,6559,教,1324
207,554f,問,1318
207,50ac,催,1318
208,80fd,能,1317
209,89e3,解,1308
210,4fdd,保,1289
211,753a,町,1282
212,53cd,反,1277
213,8cde,賞,1259
214,5f97,得,1244
215,6301,持,1236
216,8ee2,転,1234
217,5236,制,1223
218,4f1d,伝,1215
219,6c34,水,1208
220,55b6,営,1206
221,5f15,引,1204
222,54c1,品,1191
223,53bb,去,1183
224,7121,無,1180
225,6d3b,活,1177
226,548c,和,1172
227,754c,界,1171
228,5f37,強,1169
229,5229,利,1167
230,520a,刊,1165
231,4ea4,交,1157
232,4e09,三,1156
232,591a,多,1156
233,9032,進,1155
234,6bba,殺,1154
234,8a08,計,1154
235,4e21,両,1148
236,5ca1,岡,1144
236,5c40,局,1144
236,8981,要,1144
237,53ef,可,1142
238,99c5,駅,1141
239,652f,支,1137
240,88ab,被,1117
241,4e57,乗,1115
242,7269,物,1112
243,679c,果,1109
244,9678,陸,1099
245,6545,故,1093
245,7a7a,空,1093
246,7279,特,1092
247,7d42,終,1090
248,7c73,米,1084
249,9818,領,1083
250,5bae,宮,1081
251,8a9e,語,1078
251,6751,村,1078
252,91cd,重,1067
