rank,code_point_hex,char,doc_count
0,0,all,100000
1,5e74,年,87076
2,65e5,日,78922
3,90e8,部,74233
4,6708,月,71028
5,5927,大,68550
6,672c,本,67278
7,4e00,一,65496
8,51fa,出,64836
9,5916,外,64434
10,6ce8,注,62171
11,4e2d,中,61804
12,4eba,人,61384
13,811a,脚,61075
14,76ee,目,59768
15,56fd,国,58353
16,95a2,関,57277
17,9023,連,56513
18,884c,行,54151
19,5f8c,後,52466
20,540d,名,52032
21,751f,生,51339
22,6642,時,51264
23,4e0a,上,51133
24,5408,合,50882
25,4ee3,代,50395
26,540c,同,49926
27,4f1a,会,49703
28,6210,成,48065
29,5730,地,47172
30,767a,発,46940
31,5b66,学,45488
32,5834,場,45338
33,73fe,現,44458
34,9ad8,高,44005
35,7acb,立,43787
36,9577,長,43403
37,8005,者,43203
38,9593,間,43069
39,6240,所,43050
40,958b,開,43049
41,5b50,子,42940
42,5165,入,42927
43,4e8b,事,42863
44,4f5c,作,42756
45,5206,分,42552
45,6587,文,42552
46,4e3b,主,42493
47,5728,在,42401
48,5185,内,42261
49,6b74,歴,41834
50,4e0b,下,41788
51,6771,東,41571
52,65b0,新,41058
53,524d,前,41024
54,9805,項,40914
55,901a,通,40895
56,516c,公,40365
57,5e02,市,40107
58,5b9a,定,39925
59,8981,要,39555
60,53c2,参,39482
61,521d,初,39337
62,7b2c,第,39220
63,5168,全,39201
64,81ea,自,39014
65,624b,手,38982
66,793e,社,38537
67,7528,用,38242
68,696d,業,38184
69,7269,物,38154
70,4ee5,以,37915
71,5f53,当,37766
72,8a9e,語,37614
73,5c0f,小,37558
74,8868,表,37503
75,52d5,動,37341
76,8a18,記,36360
77,6700,最,36329
78,7684,的,36250
79,5f0f,式,35564
80,65b9,方,35559
81,7530,田,35468
82,5bb6,家,35210
83,5c71,山,35151
84,548c,和,35088
85,4f53,体,34443
86,8eab,身,34099
87,770c,県,33946
88,7406,理,33888
89,660e,明,33559
90,8a2d,設,33310
91,5316,化,33187
92,671f,期,33027
93,6765,来,32941
94,7d4c,経,32886
95,9053,道,32843
96,4e16,世,32714
97,5143,元,32445
98,8003,考,32322
99,5e73,平,32221
100,5ddd,川,32172
101,5b9f,実,32066
102,591a,多,32028
103,898b,見,31258
104,56de,回,31205
105,52a0,加,31026
106,91ce,野,30928
107,5bfe,対,30570
108,6226,戦,30168
109,539f,原,30048
110,7279,特,30034
111,5317,北,29740
112,4e09,三,29724
113,6570,数,29585
114,753b,画,29501
115,4f4d,位,29450
116,53d7,受,29279
117,5ea6,度,29156
118,5178,典,29098
119,82f1,英,29010
120,53f2,史,28914
121,5171,共,28873
122,66f8,書,28679
123,7d50,結,28368
124,897f,西,28327
125,6d3b,活,27830
126,52d9,務,27824
127,6b63,正,27823
128,6027,性,27476
129,53d6,取,27468
130,4eac,京,27396
131,9078,選,27283
132,7f6e,置,27254
133,5236,制,27129
133,6982,概,27129
134,54e1,員,27053
135,6cbb,治,26969
136,4e8c,二,26894
137,77e5,知,26880
138,4ed6,他,26863
139,96c6,集,26742
140,59cb,始,26560
141,969b,際,26499
142,7d44,組,26467
143,7de8,編,26255
144,54c1,品,26184
145,7d9a,続,26147
146,529b,力,25942
147,6cd5,法,25899
148,6709,有,25416
149,53f7,号,25388
150,732e,献,25072
151,4f7f,使,25063
152,5225,別,24937
153,7b49,等,24931
154,6301,持,24906
155,4ed8,付,24838
156,6b21,次,24794
157,6a5f,機,24776
158,5973,女,24730
159,8fd1,近,24713
160,6307,指,24710
161,70b9,点,24563
162,6d77,海,24556
163,90fd,都,24500
164,6821,校,24452
165,5cf6,島,24429
166,756a,番,24422
167,5c5e,属,24403
168,4e0d,不,24367
169,754c,界,24305
170,533a,区,24268
171,91d1,金,24063
172,79f0,称,23945
173,9332,録,23909
174,91cd,重,23838
175,6559,教,23795
176,5357,南,23711
177,4ea4,交,23710
178,9032,進,23649
179,9762,面,23611
180,5909,変,23319
181,7d42,終,23189
182,6c34,水,23064
183,5fc3,心,22958
184,6728,木,22918
185,5f62,形,22868
186,5f97,得,22805
187,7d04,約,22692
188,795e,神,22593
189,6751,村,22590
190,89a7,覧,22528
191,5411,向,22321
192,80fd,能,22195
193,5e83,広,22083
194,4fdd,保,22024
195,53e3,口,21878
196,753a,町,21800
197,610f,意,21741
197,89e3,解,21741
198,5229,利,21628
199,79fb,移,21601
200,8a00,言,21557
201,6c17,気,21550
202,6c11,民,21405
203,4fe1,信,21378
204,518d,再,21344
205,512a,優,21334
206,5f79,役,21290
207,653f,政,21273
208,7248,版,21056
209,7dda,線,21035
210,5831,報,20974
211,6f14,演,20952
212,7dcf,総,20715
213,7531,由,20696
214,53ce,収,20667
215,5dde,州,20622
216,58f2,売,20611
217,76f4,直,20570
218,57fa,基,20555
219,679c,果,20501
220,69d8,様,20490
221,7121,無,20465
222,56e3,団,20403
223,6539,改,20385
224,7537,男,20303
225,5f15,引,20269
226,653e,放,20107
227,6d41,流,20046
228,5c11,少,19989
229,5929,天,19926
230,9001,送,19923
231,5b58,存,19860
232,697d,楽,19778
233,9580,門,19620
234,76f8,相,19500
235,8aac,説,19497
236,5b89,安,19470
237,904b,運,19437
238,5e38,常,19415
239,6c7a,決,19348
240,547c,呼,19336
241,69cb,構,19296
242,58eb,士,19290
243,592a,太,19274
244,7f8e,美,19221
245,4efb,任,19164
246,53f0,台,19001
247,8a08,計,18819
248,7cfb,系,18755
249,5148,先,18747
250,8ee2,転,18655
251,53e4,古,18579
252,7fa9,義,18555
253,97f3,音,18552
254,5de5,工,18458
255,4e95,井,18386
256,7523,産,18362
257,8853,術,18338
258,60c5,情,18200
259,9662,院,18145
260,4f1d,伝,18130
261,683c,格,18100
262,6b62,止,18073
263,9928,館,18070
264,8d77,起,18010
265,984c,題,17965
266,9000,退,17914
267,9020,造,17913
268,771f,真,17891
269,52dd,勝,17883
270,964d,降,17806
271,652f,支,17793
272,5468,周,17646
273,5149,光,17636
274,77f3,石,17620
275,79d1,科,17604
276,767b,登,17552
277,914d,配,17513
278,8abf,調,17493
279,5404,各,17350
280,611b,愛,17341
281,5c4b,屋,17212
282,80b2,育,17188
283,904e,過,17122
284,65bd,施,17052
285,85e4,藤,17005
286,6b7b,死,16939
287,8eca,車,16908
288,5c40,局,16904
289,7d71,統,16902
290,7814,研,16894
291,662d,昭,16871
292,53ef,可,16835
293,571f,土,16807
294,57df,域,16692
295,5f37,強,16684
296,5354,協,16579
297,72b6,状,16571
298,8def,路,16551
299,55b6,営,16549
300,534a,半,16514
301,547d,命,16490
302,7a7a,空,16471
303,6620,映,16370
304,53bb,去,16306
305,6280,技,16236
306,5efa,建,16207
307,66f2,曲,16175
308,90ce,郎,16151
309,5ca1,岡,16053
310,677e,松,16047
311,578b,型,15972
312,88fd,製,15946
313,5099,備,15871
314,738b,王,15866
315,7a2e,種,15830
316,6a29,権,15826
317,8a71,話,15737
318,5bae,宮,15640
319,8a8d,認,15617
320,4fee,修,15564
321,793a,示,15548
322,4f4f,住,15536
323,6599,料,15457
324,8457,著,15381
325,542b,含,15364
326,7a76,究,15345
327,9650,限,15307
328,9054,達,15236
329,5fdc,応,15210
330,5473,味,15209
331,5f71,影,15201
332,8c37,谷,15191
333,671d,朝,15184
334,63a5,接,15152
335,826f,良,15141
336,6b66,武,15078
337,767d,白,15035
338,7740,着,14999
339,8ecd,軍,14910
340,72ec,独,14906
341,53ca,及,14869
342,4e88,予,14857
343,96e2,離,14844
344,5b57,字,14839
345,5e2b,師,14825
346,554f,問,14801
347,5712,園,14746
348,8b70,議,14743
349,4e07,万,14652
350,5b8c,完,14629
351,76e3,監,14594
352,5e9c,府,14573
353,4e21,両,14505
354,7570,異,14478
355,5207,切,14471
356,798f,福,14436
357,5ff5,念,14425
358,96fb,電,14416
359,8cc7,資,14403
360,6b4c,歌,14386
361,4fc2,係,14383
362,66f4,更,14382
363,7d99,継,14348
364,5e97,店,14295
365,65e7,旧,14288
366,9244,鉄,14270
367,5352,卒,14267
368,7565,略,14232
369,89aa,親,14220
370,6b8b,残,14204
371,982d,頭,14098
372,8fbc,込,14086
373,5bb9,容,14038
374,6238,戸,14007
375,7d00,紀,13982
376,4eca,今,13967
377,98a8,風,13913
378,5358,単,13912
379,89b3,観,13900
380,5c02,専,13875
381,5341,十,13840
382,62c5,担,13837
383,672b,末,13826
384,8cde,賞,13749
384,5fa9,復,13749
385,56f3,図,13724
386,5074,側,13703
387,4f50,佐,13692
388,57ce,城,13662
389,7ba1,管,13644
390,5275,創,13486
391,4e0e,与,13475
392,8db3,足,13455
393,8449,葉,13385
394,6a4b,橋,13379
395,592b,夫,13372
396,9752,青,13358
397,53cd,反,13320
398,6c5f,江,13286
399,6b73,歳,13284
400,4f9b,供,13283
401,843d,落,13264
402,4ecb,介,13247
403,56db,四,13193
404,63d0,提,13186
405,65cf,族,13150
406,5c0e,導,13113
407,5ba4,室,13074
408,90e1,郡,13069
409,8fba,辺,13052
410,6e21,渡,13051
411,5343,千,13047
412,985e,類,13007
413,614b,態,13006
414,5c55,展,12880
415,5d0e,崎,12877
416,5409,吉,12846
417,5b98,官,12799
418,601d,思,12797
419,4e57,乗,12795
420,898f,規,12789
421,7236,父,12765
422,8846,衆,12704
423,4e86,了,12701
424,8f09,載,12600
425,5f7c,彼,12555
426,4f01,企,12538
427,8ad6,論,12465
428,50ac,催,12419
429,822c,般,12416
430,52a9,助,12383
431,6cb3,河,12346
432,6cbf,沿,12305
433,597d,好,12292
434,535a,博,12237
435,8a66,試,12210
436,67fb,査,12193
437,4e45,久,12192
438,5897,増,12186
439,8ffd,追,12139
440,53f8,司,12123
441,5546,商,12086
442,8272,色,12072
443,8a55,評,12065
444,8077,職,12058
445,97ff,響,12033
446,6d0b,洋,12017
447,9769,革,12014
448,7a0b,程,12003
449,8ff0,述,11969
450,78ba,確,11964
451,592e,央,11945
452,5e30,帰,11943
453,6e96,準,11927
454,4ed5,仕,11909
455,4f8b,例,11883
456,5f93,従,11815
457,6bcd,母,11781
457,6625,春,11781
458,99ac,馬,11744
459,4ef6,件,11734
460,7763,督,11717
461,672a,未,11713
462,500b,個,11665
463,611f,感,11639
464,99c5,駅,11600
465,91c8,釈,11581
466,5224,判,11547
467,7c73,米,11546
467,9a13,験,11546
468,6319,挙,11487
469,7167,照,11460
470,5dfb,巻,11448
471,4e94,五,11445
472,9803,頃,11423
473,5f35,張,11416
474,4e89,争,11407
475,975e,非,11400
476,544a,告,11385
477,59d4,委,11362
478,7e3e,績,11333
479,6bd4,比,11327
480,5931,失,11286
481,68ee,森,11263
482,88c5,装,11248
483,9678,陸,11186
484,5fc5,必,11163
485,7c4d,籍,11146
486,6797,林,11108
487,82b1,花,11090
488,65ad,断,11085
489,5175,兵,11078
490,8cea,質,11072
491,5ec3,廃,11059
492,7d1a,級,11058
493,7701,省,11017
494,805e,聞,10998
495,9664,除,10938
496,8208,興,10930
497,60f3,想,10909
498,4f34,伴,10885
499,53cb,友,10825
500,98df,食,10796
501,88dc,補,10790
502,6295,投,10784
503,6a2a,横,10709
504,6d88,消,10699
505,5883,境,10693
506,96c4,雄,10692
507,82b8,芸,10688
508,7fcc,翌,10681
509,5e2f,帯,10662
510,6e05,清,10626
511,8996,視,10618
512,9ed2,黒,10607
513,5fd7,志,10556
514,6b69,歩,10540
515,6483,撃,10539
516,516b,八,10517
517,4fa1,価,10500
518,5ea7,座,10487
519,5c31,就,10474
520,8b77,護,10465
520,50cf,像,10465
521,7d30,細,10426
522,6ca2,沢,10405
523,5b88,守,10356
524,6e08,済,10339
524,6d3e,派,10339
525,6761,条,10338
526,9818,領,10337
527,4f0a,伊,10317
528,6839,根,10312
529,91cf,量,10310
530,7403,球,10293
531,5272,割,10283
532,6e80,満,10230
533,7136,然,10203
534,5217,列,10185
535,6025,急,10180
536,63a8,推,10135
537,8c61,象,10108
538,5668,器,10100
539,6bce,毎,10090
540,901f,速,10087
